Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,6,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,<5,8,<5,<5,19,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,8,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,1,1,1,3,Washington,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=67&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2020.0,77.0,111.0,,,188,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,116.0,142.0,,,258,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,70.0,61.0,47.0,,178,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,593.0,644.0,714.0,,"1,951",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,561.0,454.0,488.0,463.0,"1,966",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,101.0,131.0,99.0,83.0,414,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,29.0,39.0,33.0,26.0,127,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,33.0,35.0,26.0,21.0,115,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,500.0,491.0,467.0,527.0,"1,985",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,87.0,87.0,61.0,80.0,315,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,14.0,25.0,12.0,8.0,59,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,68.0,76.0,71.0,86.0,301,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,58.0,51.0,52.0,53.0,214,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2015.0,47.0,28.0,45.0,51.0,171,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,64.0,41.0,62.0,76.0,243,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,6.0,8.0,12.0,12.0,38,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,335.0,447.0,325.0,303.0,"1,410",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,509.0,523.0,576.0,575.0,"2,183",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,53.0,63.0,68.0,79.0,263,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,20.0,22.0,35.0,37.0,114,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,32.0,44.0,34.0,36.0,146,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,557.0,608.0,594.0,717.0,"2,476",Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,54.0,68.0,84.0,99.0,305,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,10.0,22.0,22.0,28.0,82,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,85.0,83.0,104.0,87.0,359,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,84.0,113.0,111.0,110.0,418,Miami-Dade,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=13&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2020.0,81.0,127.0,,,208,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,101.0,147.0,,,248,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,190.0,253.0,258.0,,701,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,561.0,694.0,809.0,,"2,064",Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,715.0,744.0,725.0,804.0,"2,988",Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,282.0,353.0,281.0,308.0,"1,224",Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,139.0,168.0,104.0,132.0,543,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,38.0,36.0,48.0,33.0,155,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,474.0,455.0,435.0,404.0,"1,768",Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,133.0,174.0,143.0,123.0,573,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,31.0,45.0,39.0,23.0,138,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,67.0,63.0,56.0,55.0,241,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,48.0,49.0,54.0,63.0,214,Hillsborough,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=29&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2020.0,7,4,,,11,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Drug Overdose Deaths,Count,2020.0,8,4,,,12,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2020.0,8,7,13,,28,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2020.0,21,19,27,,67,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2020.0,63,45,66,48,222,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,37,23,27,23,110,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,19,7,11,5,42,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2020.0,6,<5,6,<5,19,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2020.0,32,29,31,22,114,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2020.0,7,8,7,6,28,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,<5,<5,<5,<5,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2020.0,<5,8,6,<5,19,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2020.0,1,1,1,0,3,Nassau,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=45&ddlYear=2020&selTab=1
Opioid Overdose Deaths,Count,2016.0,0,1,0,1,2,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,,1,,1,2,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,4,8,2,5,19,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,15,12,11,8,46,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,17,6,8,5,36,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,5,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,<5,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,<5,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,8,12,13,6,39,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,5,<5,13,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,<5,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,5,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,0,0,2,0,2,Wakulla,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=65&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2015.0,1,1,0,0,2,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,1,1,,,2,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,1,5,0,2,8,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,3,10,0,3,16,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,5,8,5,<5,22,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,6,12,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,1,0,0,1,Hamilton,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=24&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2019.0,0,0,0,0,0,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,0,0,0,1,1,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,0,0,0,0,0,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,0,0,0,0,0,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,5,<5,<5,<5,11,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,6,10,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,0,0,0,0,0,Liberty,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=39&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2015.0,5,3,8,4,20,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,7,4,9,4,24,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,0,0,0,0,0,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,58,85,96,106,345,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,62,52,53,55,222,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,12,6,10,6,34,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
